no,lat,long,bp,er,site,feature
2233,36.0444636,129.3215122,2650,40,포항 대련리 유적,4-2호 주거지
2234,36.0463844,129.324747,2850,60,포항 대련리 청동기시대 취락유적,1구역 4호 주거지(1)
2235,36.0463844,129.324747,2830,50,포항 대련리 청동기시대 취락유적,1구역 5호 주거지(2)
2236,36.0463844,129.324747,2580,50,포항 대련리 청동기시대 취락유적,1구역 6호 주거지(3)
2237,36.0463844,129.324747,2720,50,포항 대련리 청동기시대 취락유적,대련-1 6호 주거지 내부 동북벽
2238,36.0463844,129.324747,2660,60,포항 대련리 청동기시대 취락유적,대련-2 10호 주거지 내부 동단벽
2239,36.0463844,129.324747,2660,60,포항 대련리 청동기시대 취락유적,대련-3 13호 주거지 내부 대들보
2240,36.0463844,129.324747,2670,60,포항 대련리 청동기시대 취락유적,대련-4 19호 주거지 내부
2241,36.0463844,129.324747,2870,50,포항 대련리 청동기시대 취락유적,대련-5 22호 주거지 내부
2242,36.049011,129.3274856,2630,50,포항 대련리(학당골) 청동기시대 취락유적,1-6 주거지
2243,36.077694,129.5685016,2590,50,포항 대보리 유적,주거지 1호
2244,35.978425,129.4383044,2680,30,포항 도구리 산77-1번지유적,청동기시대 주거지 1호
2245,35.978425,129.4383044,2690,30,포항 도구리 산77-1번지유적,청동기시대 주거지 2호
2246,35.978425,129.4383044,2710,30,포항 도구리 산77-1번지유적,청동기시대 주거지 3호
2247,36.0000114,129.5662185,2440,60,포항 삼정1리 유적(Ⅰ-Ⅱ),31호 주거지
2248,36.0000114,129.5662185,2690,60,포항 삼정1리 유적(Ⅰ-Ⅱ),59호 주거지
2249,36.0054316,129.5711515,2700,60,포항 삼정2리 유적,8호 주거지
2250,36.0054316,129.5711515,2690,60,포항 삼정2리 유적,9호 주거지
2251,36.07549,129.347038,2880,50,포항 성곡리 유적Ⅰ-Ⅳ,주거지 12호
2252,36.07549,129.347038,3070,50,포항 성곡리 유적Ⅰ-Ⅳ,주거지 17호
2253,36.07549,129.347038,3130,60,포항 성곡리 유적Ⅰ-Ⅳ,주거지 01호
2254,36.07549,129.347038,2810,50,포항 성곡리 유적Ⅰ-Ⅳ,주거지 21호
2255,36.07549,129.347038,2640,50,포항 성곡리 유적Ⅰ-Ⅳ,주거지 27호
2256,36.07549,129.347038,2880,50,포항 성곡리 유적Ⅰ-Ⅳ,주거지 33호
2257,36.07549,129.347038,2700,60,포항 성곡리 유적Ⅰ-Ⅳ,주거지 37호
2258,36.07549,129.347038,2890,50,포항 성곡리 유적Ⅰ-Ⅳ,주거지 48호
2259,35.9721655,129.4007098,3050,50,포항 원동 1지구유적,포항 원동 1지구유적 시료1. 1구역 주거지 4호
2260,35.9721655,129.4007098,2890,50,포항 원동 1지구유적,포항 원동 1지구유적 시료2. 1구역 주거지 18호
2261,35.9721655,129.4007098,2760,50,포항 원동 1지구유적,포항 원동 1지구유적 시료4. 3구역 주거지 11호
2262,35.9721655,129.4007098,2760,50,포항 원동 1지구유적,포항 원동 1지구유적 시료5. 3구역 주거지 16호
2263,35.9675774,129.4002841,2950,60,포항 원동 2지구 유적,주거지 22호
2264,35.9675774,129.4002841,2850,60,포항 원동 2지구 유적,주거지 56호
2265,35.9675774,129.4002841,2870,60,포항 원동 2지구 유적,주거지 57호
2266,35.9675774,129.4002841,2710,60,포항 원동 2지구 유적,주거지 58호
2267,36.0680471,129.3408118,2930,50,포항 이인리 청동기시대 취락유적,2호 주거지
2268,36.0680471,129.3408118,2920,40,포항 이인리 청동기시대 취락유적,8호 주거지
2269,36.075031,129.344484,2860,50,포항 이인리청동기시대유적2,Ⅰ구역 4호주거지
2270,36.075031,129.344484,2640,50,포항 이인리청동기시대유적2,Ⅰ구역 6호 주거지
2271,36.075031,129.344484,2600,50,포항 이인리청동기시대유적2,Ⅱ구역 7호 주거지
2272,36.075031,129.344484,2500,50,포항 이인리청동기시대유적2,Ⅱ구역 8호 주거지
2273,36.075031,129.344484,2820,50,포항 이인리청동기시대유적2,Ⅳ구역 13호 주거지
2274,36.0984037,129.3376029,2750,40,포항 초곡리 취락유적,포항시 초곡리 산 38-9번지 주거지 16호 목탄시료
2275,36.0984037,129.3376029,2730,50,포항 초곡리 취락유적,포항시 초곡리 산 38-9번지 주거지 17호 목탄시료
2276,36.0984037,129.3376029,2630,40,포항 초곡리 취락유적,포항시 초곡리 산 38-9번지 주거지 20호 목탄시료
2277,36.0984037,129.3376029,2720,50,포항 초곡리 취락유적,포항시 초곡리 산 38-9번지 주거지 21호 목탄시료
2278,36.0984037,129.3376029,2780,50,포항 초곡리 취락유적,포항시 초곡리 산 38-9번지 주거지 22호 목탄시료
2279,36.0984037,129.3376029,2720,40,포항 초곡리 취락유적,포항시 초곡리 산 38-9번지 주거지 24호 목탄시료
2280,36.0984037,129.3376029,2690,40,포항 초곡리 취락유적,포항시 초곡리 산 38-9번지 주거지 25호 목탄시료
2281,36.0984037,129.3376029,2690,40,포항 초곡리 취락유적,포항시 초곡리 산 38-9번지 주거지 27-2호 목탄시료
2282,36.0984037,129.3376029,2670,40,포항 초곡리 취락유적,포항시 초곡리 산 38-9번지 주거지 28호 목탄시료
2283,36.0984037,129.3376029,2790,80,포항 초곡리 취락유적,포항시 초곡리 산 38-9번지 주거지 2호 목탄시료 
2284,36.0984037,129.3376029,2730,50,포항 초곡리 취락유적,포항시 초곡리 산 38-9번지 주거지 46호 목탄시료
2285,36.0984037,129.3376029,2730,40,포항 초곡리 취락유적,포항시 초곡리 산 38-9번지 주거지 4호 목탄시료
2286,36.0984037,129.3376029,2740,50,포항 초곡리 취락유적,포항시 초곡리 산 38-9번지 주거지 5호 목탄시료
2287,37.5796962,127.1935053,2760,60,하남 망월동 구산 유적,2호 주거지
2288,37.5796962,127.1935053,2680,60,하남 망월동 구산 유적,6호 주거지
2289,37.5792708,127.1924388,2770,40,하남 망월동유적,2호 주거지
2290,37.5792708,127.1924388,2860,40,하남 망월동유적,3호 주거지
2291,37.5792708,127.1924388,2870,40,하남 망월동유적,4호 주거지
2292,36.3808988,126.9464863,3157,41,학암리유적,II-4호
